freq,amp_thresh,goer_thresh,acc,precision,recall,f1,specificity,tp,tn,fp,fn
43852.98259713771,0.0002460357512737196,8.183464686536218e-06,0.505,0.505,1.0,0.6710963455149501,0.0,505,0,495,0
58306.16213474901,0.0004061411339744309,8.513192726838628e-06,0.516,0.5150300601202404,1.0,0.6798941798941799,0.004115226337363884,514,2,484,0
57614.418799312654,0.0002745902097562702,7.271558161289352e-06,0.521,0.5205205205205206,1.0,0.684660961158657,0.0020833333332899305,520,1,479,0
59975.12241696198,0.001324963461324878,8.048285303871667e-06,0.484,0.48348348348348347,1.0,0.6518218623481782,0.0019342359767517555,483,1,516,0
56928.71175992539,0.0003330045288942433,9.036044479908961e-06,0.478,0.4764292878635908,1.0,0.6453804347826086,0.005714285714176871,475,3,522,0
57955.28636780976,0.00031292971648793554,1.9338676799846068e-06,0.504,0.5035035035035035,1.0,0.6697736351531292,0.0020120724345671615,503,1,496,0
55149.22931529032,0.00992229076354005,6.457291713995207e-06,0.487,0.48597194388777554,1.0,0.6540795684423466,0.0038834951455556602,485,2,513,0
56457.89669087708,0.00021879892472929994,7.231385315317136e-06,0.485,0.4834503510531595,1.0,0.651791751183232,0.0057915057913939865,482,3,515,0
53955.193878568425,0.0001739378250536289,3.7992840006771314e-07,0.493,0.493,1.0,0.6604152712659076,0.0,493,0,507,0
20644.446835335275,0.000567911232622874,8.45979775985752e-06,0.468,0.468,1.0,0.6376021798365122,0.0,468,0,532,0
58704.21342928139,0.00025863866537998754,9.925045445591711e-06,0.497,0.4954864593781344,1.0,0.6626425217974514,0.00592885375482354,494,3,503,0
56875.998190116414,0.00029697790598654005,6.003620885250597e-06,0.53,0.5290581162324649,1.0,0.6920052424639581,0.0042372881355034475,528,2,470,0
57871.89711980404,0.00030913963548193833,7.755192899942225e-06,0.525,0.5235707121364093,1.0,0.6872942725477288,0.006276150627483762,522,3,475,0
59918.60003367473,0.00038819325470139865,6.750813925542655e-06,0.516,0.5150300601202404,1.0,0.6798941798941799,0.004115226337363884,514,2,484,0
55713.556837377015,0.0003572082641718596,5.372874390892027e-06,0.486,0.4854854854854855,1.0,0.6536388140161725,0.0019417475727778301,485,1,514,0
53309.76940595452,0.00048640618604262574,8.974648231637478e-06,0.48,0.4794794794794795,1.0,0.6481732070365359,0.0019193857965082652,479,1,520,0
56596.91474368452,0.00028431772752532885,5.680021296431112e-06,0.508,0.508,1.0,0.6737400530503979,0.0,508,0,492,0
